Time(hr),Time(min),Time(sec), Hour,Minute,Second,Azim,Elevetr,Elevref,Etrn,Ampress,Gndrn
12.4667,748,44880,12,28,0,0,68.0788,68.0851,1379.09,1.07738,1042.45
12.4833,749,44940,12,29,0,0,68.1975,68.2037,1379.09,1.07649,1042.66
12.5,750,45000,12,30,0,0,68.3145,68.3207,1379.09,1.07561,1042.88
12.5167,751,45060,12,31,0,0,68.4305,68.4367,1379.09,1.07475,1043.09
12.5333,752,45120,12,32,0,0,68.5435,68.5496,1379.09,1.07392,1043.3
12.55,753,45180,12,33,0,0,68.6545,68.6605,1379.09,1.0731,1043.5
12.5667,754,45240,12,34,0,0,68.7636,68.7697,1379.09,1.07231,1043.69
12.5833,755,45300,12,35,0,0,68.8706,68.8766,1379.09,1.07154,1043.88
12.6,756,45360,12,36,0,0,68.9755,68.9815,1379.09,1.07078,1044.07
12.6167,757,45420,12,37,0,0,69.0796,69.0855,1379.09,1.07004,1044.25
12.6333,758,45480,12,38,0,0,69.1804,69.1864,1379.09,1.06932,1044.43
12.65,759,45540,12,39,0,0,69.279,69.2849,1379.09,1.06863,1044.6
12.6667,760,45600,12,40,0,0,69.3754,69.3812,1379.09,1.06795,1044.77
12.6833,761,45660,12,41,0,0,69.4695,69.4753,1379.09,1.06729,1044.93
12.7,762,45720,12,42,0,0,69.5614,69.5672,1379.09,1.06666,1045.09
12.7167,763,45780,12,43,0,0,69.6525,69.6583,1379.09,1.06603,1045.25
12.7333,764,45840,12,44,0,0,69.7399,69.7456,1379.09,1.06543,1045.4
12.75,765,45900,12,45,0,0,69.8249,69.8306,1379.09,1.06485,1045.54
12.7667,766,45960,12,46,0,0,69.9075,69.9132,1379.09,1.06429,1045.68
12.7833,767,46020,12,47,0,0,69.9877,69.9934,1379.09,1.06374,1045.81
12.8,768,46080,12,48,0,0,70.067,70.0727,1379.09,1.06321,1045.95
12.8167,769,46140,12,49,0,0,70.1424,70.148,1379.09,1.06271,1046.07
12.8333,770,46200,12,50,0,0,70.2153,70.2209,1379.09,1.06222,1046.19
12.85,771,46260,12,51,0,0,70.2857,70.2913,1379.09,1.06175,1046.31
12.8667,772,46320,12,52,0,0,70.3536,70.3591,1379.09,1.0613,1046.42
12.8833,773,46380,12,53,0,0,70.4188,70.4244,1379.09,1.06087,1046.52
12.9,774,46440,12,54,0,0,70.483,70.4885,1379.09,1.06045,1046.63
12.9167,775,46500,12,55,0,0,70.5431,70.5486,1379.09,1.06006,1046.73
12.9333,776,46560,12,56,0,0,70.6006,70.6061,1379.09,1.05969,1046.82
12.95,777,46620,12,57,0,0,70.6554,70.6609,1379.09,1.05933,1046.91
12.9667,778,46680,12,58,0,0,70.7075,70.713,1379.09,1.05899,1046.99
12.9833,779,46740,12,59,0,0,70.757,70.7625,1379.09,1.05868,1047.07
13,780,46800,13,0,0,0,70.8051,70.8106,1379.09,1.05837,1047.15
13.0167,781,46860,13,1,0,0,70.8491,70.8545,1379.09,1.05809,1047.22
13.0333,782,46920,13,2,0,0,70.8903,70.8957,1379.09,1.05782,1047.28
13.05,783,46980,13,3,0,0,70.9287,70.9341,1379.09,1.05758,1047.34
13.0667,784,47040,13,4,0,0,70.9644,70.9697,1379.09,1.05735,1047.4
13.0833,785,47100,13,5,0,0,70.9986,71.0039,1379.09,1.05713,1047.45
13.1,786,47160,13,6,0,0,71.0285,71.0339,1379.09,1.05694,1047.5
13.1167,787,47220,13,7,0,0,71.0556,71.061,1379.09,1.05677,1047.54
13.1333,788,47280,13,8,0,0,71.08,71.0853,1379.09,1.05662,1047.58
13.15,789,47340,13,9,0,0,71.1014,71.1067,1379.09,1.05648,1047.62
13.1667,790,47400,13,10,0,0,71.1199,71.1252,1379.09,1.05637,1047.65
13.1833,791,47460,13,11,0,0,71.1369,71.1423,1379.09,1.05626,1047.67
13.2,792,47520,13,12,0,0,71.1497,71.155,1379.09,1.05618,1047.69
13.2167,793,47580,13,13,0,0,71.1595,71.1649,1379.09,1.05612,1047.71
13.2333,794,47640,13,14,0,0,71.1665,71.1718,1379.09,1.05608,1047.72
13.25,795,47700,13,15,0,0,71.1705,71.1759,1379.09,1.05605,1047.72
13.2667,796,47760,13,16,0,0,71.1731,71.1784,1379.09,1.05603,1047.73
13.2833,797,47820,13,17,0,0,71.1713,71.1766,1379.09,1.05605,1047.73
13.3,798,47880,13,18,0,0,71.1666,71.1719,1379.09,1.05607,1047.72
13.3167,799,47940,13,19,0,0,71.159,71.1643,1379.09,1.05612,1047.71
13.3333,800,48000,13,20,0,0,71.1485,71.1538,1379.09,1.05619,1047.69
13.35,801,48060,13,21,0,0,71.1351,71.1404,1379.09,1.05627,1047.67
13.3667,802,48120,13,22,0,0,71.1202,71.1256,1379.09,1.05637,1047.65
13.3833,803,48180,13,23,0,0,71.1011,71.1064,1379.09,1.05649,1047.62
13.4,804,48240,13,24,0,0,71.079,71.0844,1379.09,1.05663,1047.58
13.4167,805,48300,13,25,0,0,71.0541,71.0595,1379.09,1.05678,1047.54
13.4333,806,48360,13,26,0,0,71.0263,71.0317,1379.09,1.05696,1047.5
13.45,807,48420,13,27,0,0,70.9958,71.0011,1379.09,1.05715,1047.45
13.4667,808,48480,13,28,0,0,70.9637,70.969,1379.09,1.05736,1047.4
13.4833,809,48540,13,29,0,0,70.9274,70.9328,1379.09,1.05759,1047.34
13.5,810,48600,13,30,0,0,70.8884,70.8938,1379.09,1.05783,1047.28
13.5167,811,48660,13,31,0,0,70.8465,70.852,1379.09,1.0581,1047.21
13.5333,812,48720,13,32,0,0,70.802,70.8074,1379.09,1.05839,1047.14
13.55,813,48780,13,33,0,0,70.7557,70.7611,1379.09,1.05868,1047.07
13.5667,814,48840,13,34,0,0,70.7057,70.7111,1379.09,1.05901,1046.99
13.5833,815,48900,13,35,0,0,70.6529,70.6584,1379.09,1.05935,1046.9
13.6,816,48960,13,36,0,0,70.5975,70.603,1379.09,1.05971,1046.81
13.6167,817,49020,13,37,0,0,70.5394,70.5449,1379.09,1.06009,1046.72
13.6333,818,49080,13,38,0,0,70.4785,70.4841,1379.09,1.06048,1046.62
13.65,819,49140,13,39,0,0,70.4166,70.4221,1379.09,1.06089,1046.52
13.6667,820,49200,13,40,0,0,70.3507,70.3562,1379.09,1.06132,1046.41
13.6833,821,49260,13,41,0,0,70.2822,70.2878,1379.09,1.06178,1046.3
13.7,822,49320,13,42,0,0,70.2111,70.2167,1379.09,1.06225,1046.18
13.7167,823,49380,13,43,0,0,70.1376,70.1432,1379.09,1.06274,1046.06
13.7333,824,49440,13,44,0,0,70.0616,70.0673,1379.09,1.06325,1045.94
13.75,825,49500,13,45,0,0,69.9846,69.9902,1379.09,1.06377,1045.81
13.7667,826,49560,13,46,0,0,69.9036,69.9093,1379.09,1.06431,1045.67
13.7833,827,49620,13,47,0,0,69.8203,69.8261,1379.09,1.06488,1045.53
13.8,828,49680,13,48,0,0,69.7347,69.7405,1379.09,1.06546,1045.39
13.8167,829,49740,13,49,0,0,69.6468,69.6526,1379.09,1.06607,1045.24
13.8333,830,49800,13,50,0,0,69.558,69.5638,1379.09,1.06668,1045.09
13.85,831,49860,13,51,0,0,69.4653,69.4712,1379.09,1.06732,1044.93
13.8667,832,49920,13,52,0,0,69.3706,69.3765,1379.09,1.06798,1044.76
13.8833,833,49980,13,53,0,0,69.2737,69.2796,1379.09,1.06867,1044.59
13.9,834,50040,13,54,0,0,69.1746,69.1805,1379.09,1.06936,1044.42
13.9167,835,50100,13,55,0,0,69.0733,69.0793,1379.09,1.07008,1044.24
13.9333,836,50160,13,56,0,0,68.9711,68.9771,1379.09,1.07081,1044.06
13.95,837,50220,13,57,0,0,68.8657,68.8717,1379.09,1.07157,1043.88
